"","Player","Team","Plays",EPA+CPOE composite,"Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","P.Mahomes","kc",750,"0.178","0.310","0.306","54.0%","71.0","67.6","3.4","7.4"
"2","T.Tagovailoa","",457,"0.148","0.256","0.242","49.9%","66.9","65.5","1.4","9.7"
"3","J.Hurts","","677","0.144","0.225","0.213","49.3%","70.3","67.6","2.7","8.3"
"4","J.Allen","","735","0.138","0.234","0.223","52.9%","66.1","65.1","1.0","9.2"
"5","J.Garoppolo","","362","0.130","0.240","0.236","51.4%","67.9","68.6","-0.7","6.9"
"6","J.Burrow","","729","0.127","0.183","0.167","51.3%","70.2","67.5","2.7","6.9"
"7","D.Prescott","","465","0.121","0.199","0.178","52.7%","67.7","67.2","0.5","8.3"
"8","G.Smith","","707","0.118","0.111","0.090","50.4%","72.6","66.6","6.0","7.8"
"9","J.Goff","","664","0.109","0.194","0.171","49.2%","68.0","69.3","-1.4","7.1"
"10","T.Lawrence","","692","0.106","0.143","0.133","52.0%","68.9","67.4","1.5","7.4"
"11","J.Brissett","","460","0.101","0.114","0.109","48.3%","67.2","64.5","2.7","8.4"
"12","D.Jones","","644","0.100","0.121","0.115","49.7%","71.0","69.1","1.9","6.4"
"13","J.Herbert","","791","0.085","0.087","0.068","47.5%","71.0","69.4","1.6","6.3"
"14","L.Jackson","","475","0.084","0.117","0.109","49.3%","65.7","66.3","-0.6","8.5"
"15","R.Tannehill","","402","0.081","0.089","0.072","48.0%","66.9","66.1","0.7","7.7"
"16","T.Brady","","786","0.081","0.091","0.082","48.3%","69.4","68.8","0.6","6.8"
"17","K.Cousins","","728","0.079","0.078","0.055","49.3%","69.2","68.0","1.2","7.6"
"18","A.Dalton","","436","0.072","0.066","0.042","50.0%","69.2","68.5","0.7","7.9"
"19","M.Mariota","","410","0.072","0.085","0.076","49.3%","63.5","64.2","-0.7","10.5"
"20","A.Rodgers","","617","0.065","0.052","0.032","46.4%","67.1","66.7","0.4","8.3"
"21","D.Carr","","565","0.063","0.098","0.081","43.0%","63.7","66.8","-3.1","9.3"
"22","K.Pickett","","497","0.061","0.033","0.028","45.9%","66.4","65.7","0.7","7.5"
"23","K.Murray","","487","0.052","0.037","0.031","44.4%","69.4","70.4","-1.0","7.0"
"24","J.Fields","","550","0.045","0.040","0.032","45.3%","63.4","65.8","-2.5","8.9"
"25","R.Wilson","","621","0.043","0.010","-0.000","40.9%","64.6","65.5","-0.9","8.8"
"26","M.Stafford","","348","0.041","-0.011","-0.061","47.4%","69.6","69.7","-0.1","6.8"
"27","M.Ryan","","520","0.036","-0.030","-0.060","44.8%","70.2","70.3","-0.1","6.2"
"28","M.Jones","","528","0.036","-0.023","-0.031","41.3%","67.9","68.4","-0.4","8.1"
"29","C.Wentz","","336","0.010","-0.054","-0.062","41.7%","63.7","67.4","-3.7","7.9"
"30","D.Mills","","556","0.008","-0.060","-0.094","38.8%","63.0","66.8","-3.8","7.7"
"31","B.Mayfield","","414","-0.013","-0.100","-0.117","37.0%","62.6","69.6","-7.0","6.7"